WY,date,flow
1953,1953-04-28 00:00:00,3228
1954,1954-01-25 00:00:00,1620
1955,1955-02-17 00:00:00,1126
1956,1955-12-23 00:00:00,12787
1957,1957-05-19 00:00:00,2787
1958,1958-02-25 00:00:00,2061
1959,1959-02-18 00:00:00,692
1960,1960-02-09 00:00:00,1625
1961,1960-11-13 00:00:00,315
1962,1962-02-11 00:00:00,2438
1963,1963-02-01 00:00:00,15612
1964,1963-10-17 00:00:00,724
1965,1964-12-27 00:00:00,4359
1966,1965-11-24 00:00:00,1338
1967,1966-12-06 00:00:00,72782
1968,1967-10-01 00:00:00,860
1969,1969-01-25 00:00:00,22355
1970,1970-01-16 00:00:00,5769
1971,1970-11-26 00:00:00,813
1972,1971-12-24 00:00:00,631
1973,1973-01-17 00:00:00,1404
1974,1974-04-02 00:00:00,4106
1975,1975-03-26 00:00:00,1231
1976,1976-03-01 00:00:00,543
1977,1976-09-12 00:00:00,1482
1978,1978-03-04 00:00:00,6559
1979,1978-09-05 00:00:00,3868
1980,1980-02-18 00:00:00,13947
1981,1981-01-29 00:00:00,1141
1982,1982-04-11 00:00:00,8638
1983,1982-09-26 00:00:00,6673
1984,1983-12-26 00:00:00,3943
1985,1985-03-27 00:00:00,1785
1986,1986-02-19 00:00:00,8118
1987,1987-02-14 00:00:00,1403
1988,1988-01-05 00:00:00,747
1989,1989-03-03 00:00:00,1863
1990,1990-03-04 00:00:00,333
1991,1991-03-05 00:00:00,4870
1992,1991-11-19 00:00:00,505
1993,1993-01-09 00:00:00,2118
1994,1994-03-07 00:00:00,898
1995,1995-03-12 00:00:00,7347
1996,1996-02-21 00:00:00,7749
1997,1997-01-04 00:00:00,18780
1998,1998-02-24 00:00:00,5479
1999,1999-01-21 00:00:00,1236
2000,2000-02-15 00:00:00,1412
2001,2001-02-25 00:00:00,555
2002,2001-12-31 00:00:00,1662
2003,2002-11-10 00:00:00,10306
2004,2003-12-26 00:00:00,820
2005,2005-01-11 00:00:00,4450
2006,2006-04-06 00:00:00,3650
2007,2007-02-12 00:00:00,639
2008,2008-01-06 00:00:00,1711
2009,2009-02-25 00:00:00,972
2010,2009-10-16 00:00:00,1268
2011,2010-12-20 00:00:00,12885
2012,2012-01-22 00:00:00,1136
2013,2012-12-04 00:00:00,546
2014,2014-03-01 00:00:00,514
2015,2014-08-06 00:00:00,449
2016,2016-01-21 00:00:00,870
2017,2017-02-09 00:00:00,11139
2018,2018-04-09 00:00:00,4762
2019,2019-03-07 00:00:00,6010
2020,2019-12-05 00:00:00,793
